comment,title,topic,true_label,pred_label,prob_toxic
Nhiều người cứ nghĩ đạp xe là văn minh. haizzzz,Cả trăm người đạp xe thể dục bịt kín đường,OtoXemay,1,0,0.1279944639033698
"Tước bằng lái vĩnh viễn đi. Chạy lếu láo thật, không coi mạng người ra cả!",Ba người thoát chết dưới bánh xe bồn,OtoXemay,1,0,0.48562808806782964
"Google, intel, Ibm của Mỹ đua công nghệ tạo ra máy tính lượng tử, chip lượng tử cách đây mấy năm rồi ạ và họ cũng có sản phẩm mẫu đầu tiên. Trung Quốc chỉ sao chép những gì được công bố và nghiên cứu sau thôi ạ. Mọi người đừng tâng bốc Trung Quốc quá bởi vì một người đi sau, nghiên cứu sau không thể linh hoạt và sáng tạo hơn người đã nghiên cứu trước được.",Chip chuyển đổi lượng tử tốc độ ánh sáng đầu tiên thế giới,KhoaHoc,1,0,0.12023131920277719
"Cảm giác của nam thanh niên khi bị chúng đe dọa, cướp bóc còn cô người yêu thì bị chúng hãm hiếp nó đau đớn và bất lực cỡ nào thì không thể tưởng tượng nổi.",Băng cướp 'xả mã tấu' uy hiếp nạn nhân,PhapLuat,0,1,0.6038713433044223
"Phải sống chung với dịch thôi, đóng đến bao giờ nữa. Ủng hộ mở đường bay quốc tế.",Các hãng hàng không bay quốc tế từ 18/9,ThoiSu,0,1,0.6832806978690511
"Nói xin lỗi chứ chắc năm nay đ/c không có con học lớp 1. Chứ đc có con học lớp 1 xem đ/c có phát biểu kiểu đó không. Tôi thách đ/c dạy con mà không áp lực đấy, xem con nó tiếp thu khó hay dễ. Không nặng nhưng có quá nhiều điều vô lý hoặc không cần thiết bắt một đứa trẻ đang bắt đầu học chữ phải hiểu, phải biết.",Đánh giá chương trình lớp 1 nặng là chưa xác đáng',GiaoDuc,1,0,0.4081606786424561
Tăng khung phạt lên trộm chó phạt 10 năm tù ! Ko tăng là còn nhiều thằng trộm nữa công việc nhẹ nhàng quá mak,Ba người ăn trộm nửa tấn chó trong một đêm,PhapLuat,0,1,0.938799691208337
"Không cho trẻ tự ý mở cửa, cốp xe oto khi không xin phép. Loạng quạng vụt vài roi cho nhớ.",Cách tự thoát ra ngoài khi bị nhốt trong cốp ôtô,OtoXemay,0,1,0.6434711585329822
Thật thương tâm. Trách nhiệm phải làm rõ đến cùng từ cấp quản lý đến đơn vị thi công. Xin được chia buồn cùng gia đình,"Cổng trường sập, đè chết ba học sinh",GiaoDuc,0,1,0.5987983972544704
Ro lại ghi bàn rồi các bạn fan Si ạ ! Cảm ơn các bạn đã quan trâm Ro nhưng bây giờ thì đừng so sánh Ro với Si nữa. nó khập khiễng lắm. Người ta đương kim vô địch 2 giải đấu đội tuyển và CLB. Ông vua ghi 101 bàn vân vân và mây mây. nên các bạn hãy so sánh ai đấy trắng tay mùa này ví dụ như Pogba chẳng hạn,Ẩn số Pirlo ở Serie A 2020-2021,TheThao,1,0,0.09150488100213486
