comment,title,topic,true_label,pred_label,prob_toxic
Nhiều người cứ nghĩ đạp xe là văn minh. haizzzz,Cả trăm người đạp xe thể dục bịt kín đường,OtoXemay,1,0,0.39563488295120425
"Google, intel, Ibm của Mỹ đua công nghệ tạo ra máy tính lượng tử, chip lượng tử cách đây mấy năm rồi ạ và họ cũng có sản phẩm mẫu đầu tiên. Trung Quốc chỉ sao chép những gì được công bố và nghiên cứu sau thôi ạ. Mọi người đừng tâng bốc Trung Quốc quá bởi vì một người đi sau, nghiên cứu sau không thể linh hoạt và sáng tạo hơn người đã nghiên cứu trước được.",Chip chuyển đổi lượng tử tốc độ ánh sáng đầu tiên thế giới,KhoaHoc,1,0,0.25004741605656405
ko có từ nào hình dung về 2 đứa này đc! ng ta có câu hổ dữ ko ăn thịt con vậy mà.....,5 cháu bé bị mẹ và cậu chăn dắt ăn xin,PhapLuat,0,1,0.5136848571766716
"Cảm giác của nam thanh niên khi bị chúng đe dọa, cướp bóc còn cô người yêu thì bị chúng hãm hiếp nó đau đớn và bất lực cỡ nào thì không thể tưởng tượng nổi.",Băng cướp 'xả mã tấu' uy hiếp nạn nhân,PhapLuat,0,1,0.5919561744721396
"""Một cô giáo đang dạy âm nhạc ở lớp bên cạnh nghe tiếng khóc sang lớp 4C tìm hiểu, cũng thấy choáng váng"" - như vậy phải có tác nhân vật lý cụ thể tác động mới nhanh như vậy. Có thể hơi hóa chất, sóng âm địa tầng,... và tâm linh hơn là ma quỷ tác động lên những người có đáp ứng nhạy cảm tác nhân cao.",13 học sinh phải đi sơ cứu khi đang ngồi nghe giảng,SucKhoe,0,1,0.6283074647764164
Nghe mấy thánh Toy chê BM khủng khiếp mà 219 ở TQ vẫn bán được 174.000 ch ah,BMW series 5 Li 2021 - 'đàn em' lớn hơn cả series 7,OtoXemay,0,1,0.5098862913299171
Tăng khung phạt lên trộm chó phạt 10 năm tù ! Ko tăng là còn nhiều thằng trộm nữa công việc nhẹ nhàng quá mak,Ba người ăn trộm nửa tấn chó trong một đêm,PhapLuat,0,1,0.5816558692371873
Ro lại ghi bàn rồi các bạn fan Si ạ ! Cảm ơn các bạn đã quan trâm Ro nhưng bây giờ thì đừng so sánh Ro với Si nữa. nó khập khiễng lắm. Người ta đương kim vô địch 2 giải đấu đội tuyển và CLB. Ông vua ghi 101 bàn vân vân và mây mây. nên các bạn hãy so sánh ai đấy trắng tay mùa này ví dụ như Pogba chẳng hạn,Ẩn số Pirlo ở Serie A 2020-2021,TheThao,1,0,0.28031052163069603
"Fans anh 23 năm rồi, tôi thấy chẳng có bài nào mà không hay, không đi vào lòng người, Nhạc trẻ, dân ca, rồi Bolero thể loại nào anh cũng cân tất",Đan Trường: 'Tình khúc vàng chinh phục fan gần 20 năm',GiaiTri,0,1,0.6843504573611914
"Thật sự thì các doanh nghiệp, nhà máy của Mỹ cũng phải chờ coi kết quả cuộc bầu cử, ai là người lãnh đạo nước Mỹ rồi họ mới tính thôi,,,,,,",Chỉ vài ngành sản xuất của Mỹ định rời Trung Quốc,KinhDoanh,0,1,0.5133520708282886
Quá yếu kém .xem Tq và Nga kìa. Đã du hành liên hành tinh. Lên mặt trăng như đi chợ và giờ lên cả sao hỏa.,Công ty Mỹ giải cứu vệ tinh lần thứ hai,KhoaHoc,0,1,0.565821073821711
"Đầu mùa năm nay không thấy Si82 của chúng ta hát bài Hứa thật nhiều, thất hứa thật nhiều nhỉ.",Messi và Fati giúp Barca đại thắng trận ra quân La Liga,TheThao,1,0,0.3112385847786304
bây giờ ăn đồ đen lại là một trào lưu,Cơn sốt thực phẩm đen,KinhDoanh,0,1,0.5896246301164624
Thất bại rồi,Hiềm khích giữa Trump và người cầm trịch tranh luận,TheGioi,1,0,0.2671212642810336
Một đất nước còn nhiều hủ tục lạc hậu kinh khủng.Phụ nữ nên phải học lớp tự vệ bắt buộc để tránh điều đáng tiếc xảy ra.Thật đáng thương cho những người phụ nữ.,Cô gái Ấn Độ chết sau khi bị cưỡng hiếp tập thể,TheGioi,0,1,0.6304272036657131
May Juventus gánh Tạ nặng chứ không Ajax làm gì có thế hệ vàng này. :'),Ajax kiếm 321 triệu USD từ 'thế hệ vàng',TheThao,0,1,0.5539307636103351
Tôi chưa từng 1 lần thích ông này,Đan Trường ra album Bolero,GiaiTri,1,0,0.3911099808248519
"Ông Trump có tranh luận đâu, ông ấy cố gắng ngắt lời để cướp diễn đàn đấy chứ.",Biden dẫn Trump 13 điểm,TheGioi,0,1,0.5853688993381372
"Tinh thần thể thao thì có, mà ý thức tham gia giao thông an toàn thì không có. Các anh nghĩ gì nếu lỡ ma men đang lái xe hơi, hoặc một anh tài xế mệt mỏi và buồn ngủ đang lái xe vào giờ này?",Cả trăm người đạp xe thể dục bịt kín đường,OtoXemay,1,0,0.29912738605450645
Tội xúi giục con nít trộm cắp phải phạt thật nặng,Bé trai lấy túi tiền của bà bán tạp hóa,PhapLuat,0,1,0.7996257711419045
"@trung kien: bạn không quan tâm kệ bạn, chỉ cần biết cuộc thi này có uy tín quốc tế nhiều nước tham gia, thay vì động viên các em bạn lại có vẻ không vui ?",Chàng trai vàng Ngô Quý Đăng biết làm Toán từ 4 tuổi,GiaoDuc,1,0,0.2797723322400834
Quá nặng.,Án mạng khi khước từ quan hệ tình dục đồng tính,PhapLuat,0,1,0.690484600408135
Toàn vạch đứt thì làm gì có lỗi sai làn,Cách phân biệt lỗi sai làn và không tuân thủ vạch kẻ đường,OtoXemay,1,0,0.3957720523114684
Nhìn như Mark Zkbg vậy? Chắc AI này do fb phá triển quá,AI phục dựng gương mặt 54 hoàng đế La Mã,KhoaHoc,0,1,0.5216493239310948
"Nói thật lòng là giờ với mình cái kỷ lục gì đó của Pele thì Messi cũng không quan tâm đâu, bởi với anh được chơi bóng với đồng đội hợp gơ và hòa đồng vui vẻ là anh vui rùi.",20 năm Lionel Messi gắn bó với Barca,TheThao,0,1,0.5239030327012216
"con bê sau này khó khăn đi lại ăn uống ngủ nghỉ, chắc hai con bê oẳn tù tì coi ai đầu thai trước cả hai không phân thắng thua nên dính vậy.",Bê đột biến với hai đầu trên cùng cơ thể,KhoaHoc,0,1,0.5024953042984347
Có cần thiết phải to và hoành tráng như vậy không? Xây xong bỏ phí chứ dùng gì đến.,An Giang xây nhà hát 215 tỷ đồng,ThoiSu,1,0,0.42662472778361693
Chả hiểu nghe ở đâu. Vợ tôi bầu mà ăn linh tinh là tôi k thích rồi.,Bé trai xanh tím người vì ngộ độc nghi do củ dền,SucKhoe,0,1,0.6904080253207543
"nhìn cũng đẹp đi , nhưng nhìn từ trên xuống dưới ngay góc chữ D nhìn chán hết muốn nói",Aznom Palladium - siêu xe limousine sắp ra mắt,OtoXemay,0,1,0.5969614927093827
"Rõ khổ , tội lại chồng lên tội .",Bố bạo hành con gái 6 tuổi,PhapLuat,0,1,0.5149036961494393
quá khúng khiếp.,A380 - Siêu máy bay thất sủng của Airbus,KinhDoanh,0,1,0.6486049405534556
"Tiếc quá, nhạc hay như vậy...",DJ 'I Like to Move It' mất ở tuổi 49,GiaiTri,0,1,0.6345466196355564
"Ở nam có Sướng, bắc có Phát - toàn đại za xăng dầu. Cuộc đời ngắn ngủi đôi khi Sướng một Phát rồi .... mặc đồ Juventus nhé",Đại gia xăng dầu vừa bị bắt đứng sau hàng chục doanh nghiệp,KinhDoanh,1,0,0.2328926981739416
"HL có một giọng hát đẹp, lên cao xuống thấp xử lý rất tinh tế, cách cậu ấy đưa cảm xúc của mình vào bài hát chân thật như chính con người cậu ấy vậy.",Ca khúc mới của Hoài Lâm gây chú ý,GiaiTri,0,1,0.5265475490500731
"Chiều Xuân rất đẹp, còn Hồng Nhung tôi không thể nhận ra !",Các mỹ nhân Việt ở tuổi 50,GiaiTri,1,0,0.41943140951951247
"Bất tài ,gian lận thương mại đã quá rõ ,đề nghị xử phạt nặng góp phần ổn định thị trường ,bảo vệ doanh nghiệp chân chính và người tiêu dùng.",Bia Saigon của Sabeco bị làm 'nhái' như thế nào?,KinhDoanh,1,0,0.46449514013359317
Nhiều cú đánh có thể nói đẹp không ngờ !!!,21 golfer đạt điểm âm ở vòng một US Open 2020,TheThao,0,1,0.5339484235779128
Cần xử lý thật nghiêm tội bạo hành trẻ em để không còn xảy ra tình trạng đau lòng này nữa.,Bé trai 4 năm sống trong đòn roi của bố,PhapLuat,0,1,0.5242567200410865
Và cuối cùng chứng minh nói một đường làm một nẻo là thế,Harry - Meghan tham gia chương trình thực tế trên Netflix,TheGioi,1,0,0.3233666949846101
"E này đúng là rất nhưng cái giỏi của e này là có căn bản từ cha mẹ làm trong ngành giáo dục.Nể nhất là bé gái trong đoàn khi mẹ là công nhân may,cha là bảo vệ mà bé đã xuất sắc mang về tấm huy chương đồng cho bản thân và nước nhà. Rất khâm phục bé.../...",Chàng trai vàng Ngô Quý Đăng biết làm Toán từ 4 tuổi,GiaoDuc,0,1,0.518023724234087
Lấy than tre ở đâu không biết nhưng chắc không phải nhật.,Cơn sốt thực phẩm đen,KinhDoanh,1,0,0.46798792684607365
"20 năm mà lúc ra đi lật mặt như lật bánh tráng. Đòi đi bằng được với giá 0 đồng, lúc không đi được thì lại vì tình yêu mới ở lại. Nói như các cụ ngày xưa thì đúng là nuôi ong tay áo, nuôi cáo trong nhà, Nói thật tôi vẫn thích tính cách của 7 điệu hơn, mặc dù kiêu ngạo nhưng lại không giả tạo. Còn Si thì như kiểu sói đội lốt cừu, kiểu sống cứ giả tạo thế nào ấy.",20 năm Lionel Messi gắn bó với Barca,TheThao,1,0,0.4907319916606951
"Đọc thông số kỹ thuật bản Deluxe xong chán luôn cụ ạ. Cắt bớt option thì cũng vừa phải thôi chứ. Bản Luxury mà cũng chỉ 2 túi khí. Nản nuôn.Đúng như cái tên Lux có khác,nghe hơi lác lác",Chọn Kona 2.0 đặc biệt hay Seltos Luxury?,OtoXemay,0,1,0.6042279866986687
"Án mạng rồi thì có chạy đàng trời, mau tự thú cho nhẹ tội.",Bị chém chết sau một km tháo chạy,PhapLuat,0,1,0.5674211289086067
Mô phật. Không phải người nữa rồi. a di đà phật.,5 cháu bé bị mẹ và cậu chăn dắt ăn xin,PhapLuat,0,1,0.6460678998180309
Mấy bệnh nhân này không ai đọc báo hay xem thời sự trên truyền hình sao?,Ba người Quảng Nam ngộ độc sau ăn pate Minh Chay,SucKhoe,0,1,0.5865034327419
"Tội nặng nhất là gieo vào đầu đứa bé tính trộm cắp, tuổi thơ trong sáng của bé đã bị bà cô nghiện ngập làm vẫn đục.",Bé trai lấy túi tiền của bà bán tạp hóa,PhapLuat,0,1,0.6052975786243904
Loại tội phạm này nên cách ly xã hội lâu vào,Bố bạo hành con gái 6 tuổi,PhapLuat,0,1,0.7496055389208289
"Chỉ cần nhìn vào các bé thì đánh giá được chương trình như thế nào. Có bé nào đi học về mà cảm thấy vui vẻ, hạnh phúc không?  Khi nào các bé đến trường mỗi ngày là một niềm vui thì mới đúng là giáo dục.",Chương trình mới không ép học tiếng Việt nhanh',GiaoDuc,0,1,0.5657626524452656
Quá thất vọng cho một buổi bàn luận giữa hai ứng viên tổng thống! Không khác gì ngoài chợ chửi nhau! Kiểu cướp lời của TT Trump là quá mất lịch sự và thiếu văn hoá kinh khủng!,Đòn 'ăn miếng trả miếng' Trump - Biden trên sàn đấu tranh luận,TheGioi,0,1,0.708613677410664
"Các cháu đã biết gì đâu, mình cũng 2 đứa đi lớp, đọc mà xót lắm","Cổng trường sập, đè chết ba học sinh",GiaoDuc,0,1,0.5867450455440837
"Mắc bệnh vì chủ quan, bây giờ được gọi là chiến binh nữa cơ. Gia đình này hài hước thật.",Các con Trump gọi bố là 'chiến binh',TheGioi,1,0,0.27976237000027493
Lây nhiễm là điều tất yếu. Đất nước thì dịch bệnh đang bùng phát mà tụ tập đông người như vậy lại còn không đeo khẩu trang.,Buổi lễ có thể làm lan Covid-19 ở Nhà Trắng,TheGioi,0,1,0.6288324415157359
"Hối hận vì lãng phí những năm tháng học sinh lười biếng, giờ nghe ko hiểu nổi 1 khái niệm hic",Công bố ảnh chụp trực tiếp đầu tiên về ngoại hành tinh,KhoaHoc,0,1,0.561957284854912
"Trời ơi 7 năm trước đi Quy Nhơn ăn con này trong quán họ nướng, hết có 250 ngàn. Và ăn chả có gì đặc biệt. Sao giờ đắt kinh khủng vậy",Bọ biển khổng lồ vài triệu đồng một con,KinhDoanh,0,1,0.6977804044642455
1 đứa bé 6t mà bị 2 ng lớn đánh đập . Tội nghiệp cháu,Bố bạo hành con gái 6 tuổi,PhapLuat,0,1,0.7276886387921272
Các Cô làm sao ngăn được tên côn đồ ???,Ba cô giáo bị dừng công tác vì không bảo vệ trẻ,GiaoDuc,0,1,0.8315174650628436
Biden mà lên thì Mỹ sẽ tiếp tục suy tàn. Thật buồn.,Biden chúc Trump sớm khỏe,TheGioi,1,0,0.3286924491850615
Barca Đụng Bayern Munich thì xác định bị loại từ vòng bảng sớm nhé,Barca có thể chung bảng Bayern ở Champions League,TheThao,1,0,0.40343604323335247
Hồi mới nổi kiu ông hãy suy xét kỹ mọi điều thì ông cãi lại + ương bướng quyết theo con đường của ông. Giờ thì ông than.. Thật ra ông muốn sao..!?,Ca khúc mới của Hoài Lâm gây chú ý,GiaiTri,1,0,0.3503181429439611
